Stench,"When the Pokémon hits with a move, roll a d10. On a 10, the target Flinches."
Beads of Ruin,The power of the Pokémon's ruinous beads halves the Sp. Def stats of all Pokémon except itself.
Orichalcum Pulse,Turns sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack modifier by +2 in harsh sunlight.
Hadron Engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Special Attack modifier by +2 on Electric Terrain.
Opportunist,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
Cud Chew,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
Sharpness,Slicing moves gain an additional damage die.
Supreme Overlord,"When the Pokémon enters a battle, its Attack and Special Attack modifiers are increased by +2 for each of the allies in its party that have already been defeated."
Costar,"When the Pokémon enters a battle, it copies an ally's stat changes."
Toxic Debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
Armor Tail,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.
Earth Eater,"If hit by a Ground-type move, the Pokémon restores 2dX HP instead of taking damage, where X is dependent on the Pokémon's HP class."
Mycelium Might,"The Pokémon will always act at the end of the round when using status moves, but these moves will be unimpeded by the Ability of the target."
Hospitality,"When this Pokémon enters battle, it restores HP to all allies in a 5ft radius of the Pokémon for 25% of their max HP."
Supersweet Syrup,"When this Pokémon enters battle, all enemies within a 30ft radius gain a -1 penalty to their Defense and Sp. Defense modifiers until they are switched out."
Mind's Eye,"The Pokémon can hit Ghost type Pokémon with Normal and Fighting type moves, and it ignores disadvantage imposed on its attack rolls."
Embody Aspect,"The Pokémon gains a +1 stat stage boost to its Speed, Attack, Sp. Defense, or Defense depending on the mask held when it Terastalizes."
Toxic Chain,"Whenever the Pokémon hits a target with a move, roll a d10. On an 8-10, the target is badly poisoned."
Poison Puppeteer,"When the Pokémon poisons a target, it also becomes confused."
Tera Shift,"When the Pokémon enters a battle, it transforms into its Terastal Form."
Tera Shell,"While the Pokémon's HP is full, moves that deal damage to it are not very effective."
Teraform Zero,"When Terapagos changes to its Stellar Form, it eliminates the effects of all weather and terrain."
